"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Le'Veon Bell",9900,"PIT@HOU 12/25/2017 04:30PM ET",24.136,"PIT"
"WR","Antonio Brown",9000,"PIT@HOU 12/25/2017 04:30PM ET",23.879,"PIT"
"WR","DeAndre Hopkins",8400,"PIT@HOU 12/25/2017 04:30PM ET",22.093,"HOU"
"QB","Ben Roethlisberger",6700,"PIT@HOU 12/25/2017 04:30PM ET",19.343,"PIT"
"WR","JuJu Smith-Schuster",6400,"PIT@HOU 12/25/2017 04:30PM ET",12.408,"PIT"
"WR","Michael Crabtree",6300,"OAK@PHI 12/25/2017 08:30PM ET",14.008,"OAK"
"QB","Nick Foles",6300,"OAK@PHI 12/25/2017 08:30PM ET",5.540,"PHI"
"TE","Zach Ertz",6000,"OAK@PHI 12/25/2017 08:30PM ET",15.408,"PHI"
"WR","Alshon Jeffery",5800,"OAK@PHI 12/25/2017 08:30PM ET",13.864,"PHI"
"WR","Martavis Bryant",5600,"PIT@HOU 12/25/2017 04:30PM ET",8.477,"PIT"
"QB","Derek Carr",5500,"OAK@PHI 12/25/2017 08:30PM ET",16.286,"OAK"
"WR","Amari Cooper",5300,"OAK@PHI 12/25/2017 08:30PM ET",10.442,"OAK"
"WR","Nelson Agholor",5200,"OAK@PHI 12/25/2017 08:30PM ET",13.157,"PHI"
"RB","Jay Ajayi",5100,"OAK@PHI 12/25/2017 08:30PM ET",9.908,"PHI"
"RB","Lamar Miller",5000,"PIT@HOU 12/25/2017 04:30PM ET",13.021,"HOU"
"QB","EJ Manuel",4700,"OAK@PHI 12/25/2017 08:30PM ET",7.550,"OAK"
"QB","T.J. Yates",4500,"PIT@HOU 12/25/2017 04:30PM ET",13.110,"HOU"
"QB","Landry Jones",4500,"PIT@HOU 12/25/2017 04:30PM ET",-0.300,"PIT"
"RB","Marshawn Lynch",4500,"OAK@PHI 12/25/2017 08:30PM ET",11.092,"OAK"
"QB","Tom Savage",4400,"PIT@HOU 12/25/2017 04:30PM ET",8.335,"HOU"
"WR","Will Fuller V",4200,"PIT@HOU 12/25/2017 04:30PM ET",13.813,"HOU"
"QB","Taylor Heinicke",4000,"PIT@HOU 12/25/2017 04:30PM ET",0,"HOU"
"QB","Joshua Dobbs",4000,"PIT@HOU 12/25/2017 04:30PM ET",0,"PIT"
"QB","Connor Cook",4000,"OAK@PHI 12/25/2017 08:30PM ET",0,"OAK"
"QB","Nate Sudfeld",4000,"OAK@PHI 12/25/2017 08:30PM ET",0,"PHI"
"WR","Seth Roberts",3900,"OAK@PHI 12/25/2017 08:30PM ET",5.954,"OAK"
"TE","Jared Cook",3900,"OAK@PHI 12/25/2017 08:30PM ET",9.336,"OAK"
"RB","LeGarrette Blount",3900,"OAK@PHI 12/25/2017 08:30PM ET",7.379,"PHI"
"WR","Eli Rogers",3800,"PIT@HOU 12/25/2017 04:30PM ET",2.933,"PIT"
"RB","DeAndre Washington",3800,"OAK@PHI 12/25/2017 08:30PM ET",6.369,"OAK"
"RB","Jalen Richard",3700,"OAK@PHI 12/25/2017 08:30PM ET",5.850,"OAK"
"WR","Cordarrelle Patterson",3700,"OAK@PHI 12/25/2017 08:30PM ET",5.921,"OAK"
"RB","Corey Clement",3600,"OAK@PHI 12/25/2017 08:30PM ET",6.386,"PHI"
"RB","Alfred Blue",3500,"PIT@HOU 12/25/2017 04:30PM ET",1.811,"HOU"
"RB","Fitzgerald Toussaint",3500,"PIT@HOU 12/25/2017 04:30PM ET",0.075,"PIT"
"TE","Trey Burton",3500,"OAK@PHI 12/25/2017 08:30PM ET",5.992,"PHI"
"TE","Jesse James",3400,"PIT@HOU 12/25/2017 04:30PM ET",6.807,"PIT"
"DST","Steelers ",3400,"PIT@HOU 12/25/2017 04:30PM ET",7.500,"PIT"
"WR","Johnny Holton",3400,"OAK@PHI 12/25/2017 08:30PM ET",3.343,"OAK"
"RB","Andre Ellington",3200,"PIT@HOU 12/25/2017 04:30PM ET",8.740,"HOU"
"TE","Stephen Anderson",3100,"PIT@HOU 12/25/2017 04:30PM ET",4.908,"HOU"
"WR","Darrius Heyward-Bey",3100,"PIT@HOU 12/25/2017 04:30PM ET",0.500,"PIT"
"WR","Torrey Smith",3100,"OAK@PHI 12/25/2017 08:30PM ET",6.586,"PHI"
"RB","Jay Prosch",3000,"PIT@HOU 12/25/2017 04:30PM ET",0.371,"HOU"
"RB","Jordan Todman",3000,"PIT@HOU 12/25/2017 04:30PM ET",0.000,"HOU"
"WR","Braxton Miller",3000,"PIT@HOU 12/25/2017 04:30PM ET",4.100,"HOU"
"WR","Cobi Hamilton",3000,"PIT@HOU 12/25/2017 04:30PM ET",0.000,"HOU"
"WR","DeAndrew White",3000,"PIT@HOU 12/25/2017 04:30PM ET",1.700,"HOU"
"WR","Chris Thompson",3000,"PIT@HOU 12/25/2017 04:30PM ET",0.455,"HOU"
"RB","James Conner",3000,"PIT@HOU 12/25/2017 04:30PM ET",1.029,"PIT"
"RB","Roosevelt Nix",3000,"PIT@HOU 12/25/2017 04:30PM ET",0.507,"PIT"
"WR","Justin Hunter",3000,"PIT@HOU 12/25/2017 04:30PM ET",0.960,"PIT"
"RB","Jamize Olawale",3000,"OAK@PHI 12/25/2017 08:30PM ET",1.960,"OAK"
"WR","Isaac Whitney",3000,"OAK@PHI 12/25/2017 08:30PM ET",0.000,"OAK"
"RB","Wendell Smallwood",3000,"OAK@PHI 12/25/2017 08:30PM ET",5.814,"PHI"
"RB","Kenjon Barner",3000,"OAK@PHI 12/25/2017 08:30PM ET",1.827,"PHI"
"WR","Shelton Gibson",3000,"OAK@PHI 12/25/2017 08:30PM ET",0.000,"PHI"
"WR","Mack Hollins",3000,"OAK@PHI 12/25/2017 08:30PM ET",2.793,"PHI"
"WR","Marcus Johnson",3000,"OAK@PHI 12/25/2017 08:30PM ET",0.467,"PHI"
"DST","Eagles ",3000,"OAK@PHI 12/25/2017 08:30PM ET",9.929,"PHI"
"TE","Vance McDonald",2700,"PIT@HOU 12/25/2017 04:30PM ET",3.513,"PIT"
"TE","C.J. Fiedorowicz",2500,"PIT@HOU 12/25/2017 04:30PM ET",5.340,"HOU"
"TE","MyCole Pruitt",2500,"PIT@HOU 12/25/2017 04:30PM ET",0.000,"HOU"
"TE","Xavier Grimble",2500,"PIT@HOU 12/25/2017 04:30PM ET",1.000,"PIT"
"TE","Lee Smith",2500,"OAK@PHI 12/25/2017 08:30PM ET",0.857,"OAK"
"TE","Clive Walford",2500,"OAK@PHI 12/25/2017 08:30PM ET",1.308,"OAK"
"TE","Brent Celek",2500,"OAK@PHI 12/25/2017 08:30PM ET",1.821,"PHI"
"DST","Raiders ",2400,"OAK@PHI 12/25/2017 08:30PM ET",4.000,"OAK"
"DST","Texans ",2200,"PIT@HOU 12/25/2017 04:30PM ET",5.857,"HOU"
